.,Unnamed: 1,  代码,Unnamed: 3,    名称,Unnamed: 5,..1,Unnamed: 7,涨幅,Unnamed: 9,现价,Unnamed: 11,涨跌,Unnamed: 13,买价,Unnamed: 15,卖价,Unnamed: 17,总手,Unnamed: 19,总金额,Unnamed: 21,现手,Unnamed: 23,1分钟涨速,Unnamed: 25,实体涨幅,Unnamed: 27,现均差%,Unnamed: 29,换手,Unnamed: 31,委比%,Unnamed: 33,自选时间,Unnamed: 35,自选价格,Unnamed: 37,自选收益,Unnamed: 39,总市值,Unnamed: 41,流通市值,Unnamed: 43,流通比例%,Unnamed: 45,4分钟涨速,Unnamed: 47,内盘,Unnamed: 49,外盘,Unnamed: 51,内外比,Unnamed: 53,备注,Unnamed: 55,利好,Unnamed: 57,利空,Unnamed: 59,主力净量,Unnamed: 61,量比,Unnamed: 63,TTM市盈率,Unnamed: 65,净利润,Unnamed: 67,市净率,Unnamed: 69,每股盈利,Unnamed: 71,细分行业,Unnamed: 73,所属行业,Unnamed: 75,昨收,Unnamed: 77,开盘,Unnamed: 79,开盘涨幅,Unnamed: 81,竞价换手,Unnamed: 83,最高,Unnamed: 85,最低,Unnamed: 87,5日涨幅,Unnamed: 89,10日涨幅,Unnamed: 91,20日涨幅,Unnamed: 93,年初至今,Unnamed: 95,振幅,Unnamed: 97,买量,Unnamed: 99,卖量,Unnamed: 101,笔数,Unnamed: 103,贡献度,Unnamed: 105,机构动向,Unnamed: 107,异动类型,Unnamed: 109,竞价评级,Unnamed: 111,总股本,Unnamed: 113,流通股本,Unnamed: 115,利润总额,Unnamed: 117,净利润增长率,Unnamed: 119,每股净资产,Unnamed: 121,金叉个数,Unnamed: 123,散户数量,Unnamed: 125,上市日期,Unnamed: 127,Unnamed: 128
4,,SH600016,民生银行,--,,+1.01%,,4.01,,+0.04,,4.00,,4.01,,240936090,958804450,122300↑,+0.25%,,+1.01%,,+0.77,,0.68%,,-27.09,,--,,--,,--,,175567500190,142203114084,81.00%,,+0.25%,,99739080,141197010,0.706,,--,,无,,无,,0.00,,0.88,,5.78,,28542000000,0.313,,0.590,,股份制银行,银行,,3.97,,3.97,,+0.00%,,0.00%,,4.01,,3.95,,--,,--,,--,,--,,1.51%,,2719900,,18634700,62220,,--,,--,,--,,--,,43782419000,35462123213,29762000000亿,--,,12.83,,0,,--,,20001219,,,,,,,,,,,,,,,,,
4,,SH600017,日照港,,--,,+0.64%,,3.14,,+0.02,,3.13,,3.14,,17564800,54910948,100↑,,-0.32%,,+0.64%,,+0.44,,0.57%,,+13.78,,--,,--,,--,,9657553246,9657553208,100.00%,,+0.00%,,5155250,,12409550,0.415,,--,,无,,无,,0.00,,0.67,,17.74,,524854670,0.687,,0.170,,港口,,港口航运,3.12,,3.12,,+0.00%,,0.00%,,3.14,,3.10,,--,,--,,--,,--,,1.28%,,2534600,,2266050,,7466,,--,,--,,--,,--,,3075653900,3075653888,761080000亿,--,,4.57,,0,,--,,20061017,,,,,,,,,,,,,
4,,SH600018,上港集团,--,,+0.39%,,5.09,,+0.02,,5.09,,5.10,,27915650,141875320,1100↓,,+0.20%,,+0.39%,,+0.15,,0.12%,,-16.36,,--,,--,,--,,118495001490,118325796402,99.86%,,-0.20%,,11582894,16332756,0.709,,--,,无,,无,,0.00,,0.75,,8.22,,13400000000,0.841,,0.580,,港口,,港口航运,5.07,,5.07,,+0.00%,,0.00%,,5.10,,5.05,,--,,--,,--,,--,,0.99%,,2363000,,4656559,,12568,,--,,--,,--,,--,,23279961000,23246718350,18070000000亿,--,,6.05,,0,,--,,20000719,,,,,,,,,,,,,,,
4,,SH600019,宝钢股份,--,,+1.56%,,7.17,,+0.11,,7.17,,7.18,,76044522,541375560,100↓,,+0.14%,,+1.56%,,+0.72,,0.35%,,-60.82,,--,,--,,--,,156177549450,156177549450,100.00%,,-0.14%,,26137654,49906868,0.524,,--,,无,,无,,0.00,,1.07,,16.55,,7959428800,0.765,,0.370,,普钢,,钢铁,,7.06,,7.06,,+0.00%,,0.00%,,7.19,,7.03,,--,,--,,--,,--,,2.27%,,327900,,2655000,,41699,,--,,--,,--,,--,,21782085000,21782085000,10642714600亿,--,,9.38,,0,,--,,20001212,,,,,,,,,,,,,,
4,,SH600020,中原高速,--,,-0.24%,,4.13,,-0.01,,4.13,,4.14,,8718200,,36068225,100↓,,-0.24%,,-0.24%,,-0.17,,0.39%,,+18.80,,--,,--,,--,,9281645534,9281645534,100.00%,,-0.24%,,4115350,,4602850,,0.894,,--,,无,,无,,0.00,,0.87,,9.11,,612000000,0.781,,0.390,,高速公路,公路铁路运输,4.14,,4.14,,+0.00%,,0.01%,,4.18,,4.12,,--,,--,,--,,--,,1.45%,,492000,,724600,,6522,,--,,--,,--,,--,,2247371800,2247371800,1252754610亿,--,,5.29,,0,,--,,20030808,,,,,,,,,,,,,
4,,SH600021,上海电力,--,,+0.05%,,20.38,,+0.01,,20.37,,20.38,,18572542,379595820,500↑,,-0.05%,,+0.05%,,-0.29,,0.66%,,+72.11,,--,,--,,--,,57496767262,57496767262,100.00%,,+0.05%,,8994256,,9578286,,0.939,,--,,无,,无,,0.00,,0.71,,21.80,,2749500000,2.72,,1.08,,火电,,电力,,20.37,,20.37,,+0.00%,,0.00%,,20.54,,20.31,,--,,--,,--,,--,,1.13%,,70100,,24700,,23387,,--,,--,,--,,--,,2821234900,2821234900,6276628300亿,--,,7.49,,0,,--,,20031029,,,,,,,,,,,,
4,,SH600022,山东钢铁,--,,+1.85%,,1.65,,+0.03,,1.64,,1.65,,96542716,157378630,39100↑,,-0.61%,,+1.85%,,+1.23,,0.90%,,+2.09,,--,,--,,--,,17653101840,17653101764,100.00%,,+0.61%,,37944322,58598394,0.648,,--,,无,,无,,0.00,,1.08,,,,100000000,0.935,,0.013,,普钢,,钢铁,,1.62,,1.62,,+0.00%,,0.00%,,1.65,,1.61,,--,,--,,--,,--,,2.47%,,5073280,,18984685,14606,,--,,--,,--,,--,,10698849600,10698849554,632496750亿,--,,1.76,,0,,--,,20040629,,,,,,,,,,,,,,,
4,,SH600023,浙能电力,--,,+0.40%,,4.99,,+0.02,,4.98,,4.99,,24140330,120233086,100↑,,+0.00%,,+0.20%,,+0.19,,0.18%,,-8.73,,--,,--,,--,,66909576173,66909576173,100.00%,,+0.00%,,10929228,13211102,0.827,,--,,无,,无,,0.00,,0.79,,9.18,,6229637500,0.891,,0.460,,火电,,电力,,4.97,,4.98,,+0.20%,,0.00%,,4.99,,4.97,,--,,--,,--,,--,,0.40%,,1985000,,8680881,,11385,,--,,--,,--,,--,,13408732700,13408732700,8002725500亿,--,,5.60,,0,,--,,20131219,,,,,,,,,,,,,,
4,,SH600025,华能水电,--,,+0.00%,,9.16,,+0.00,,9.15,,9.16,,7142523,,65336231,1100↑,,+0.00%,,+0.00%,,+0.14,,0.04%,,-17.97,,--,,--,,--,,170660821040,164880000000,96.61%,,+0.11%,,3961254,,3181269,,1.25,,--,,无,,无,,0.00,,0.61,,19.82,,7539399800,2.48,,0.400,,水电,,电力,,9.16,,9.16,,+0.00%,,0.00%,,9.17,,9.13,,--,,--,,--,,--,,0.44%,,281900,,583400,,10106,,--,,--,,--,,--,,18631094000,18000000000,9392282800亿,--,,3.69,,0,,--,,20171215,,,,,,,,,,,
4,,SH600026,中远海能,--,,-0.58%,,17.04,,-0.10,,17.04,,17.05,,23780224,405251110,1400↓,,-0.12%,,-0.53%,,-0.01,,0.68%,,+28.28,,--,,--,,--,,93127362432,59210189856,63.58%,,-0.18%,,13756252,10023972,1.37,,--,,无,,无,,0.00,,0.66,,28.20,,2722895600,2.05,,0.571,,航运,,港口航运,17.14,,17.13,,-0.06%,,0.00%,,17.30,,16.86,,--,,--,,--,,--,,2.57%,,36800,,3100,,36064,,--,,--,,--,,--,,5465220800,3474776400,3485692500亿,--,,8.31,,0,,--,,20020523,,,,,,,,,,,,,,,
